#,survived,class,gender,age,sib_sp,par_ch,fare,embarked,family,age_bin
93,perished,first,male,46,1,0,61.175,"Southampton, UK",one,41 to 50
435,perished,first,male,50,1,0,55.9,"Southampton, UK",one,41 to 50
125,perished,first,male,54,0,1,77.2875,"Southampton, UK",one,51 to 60
362,perished,second,male,29,1,0,27.7208,"Cherbourg, FR",one,21 to 30
309,perished,second,male,30,1,0,24,"Cherbourg, FR",one,21 to 30
123,perished,second,male,32.5,1,0,30.0708,"Cherbourg, FR",one,31 to 40
862,perished,second,male,21,1,0,11.5,"Southampton, UK",one,11 to 20
729,perished,second,male,25,1,0,26,"Southampton, UK",one,21 to 30
42,perished,second,female,27,1,0,21,"Southampton, UK",one,21 to 30
849,perished,second,male,28,0,1,33,"Southampton, UK",one,21 to 30
118,perished,second,male,29,1,0,21,"Southampton, UK",one,21 to 30
100,perished,second,male,34,1,0,26,"Southampton, UK",one,31 to 40
406,perished,second,male,34,1,0,21,"Southampton, UK",one,31 to 40
477,perished,second,male,34,1,0,21,"Southampton, UK",one,31 to 40
595,perished,second,male,37,1,0,26,"Southampton, UK",one,31 to 40
218,perished,second,male,42,1,0,27,"Southampton, UK",one,41 to 50
237,perished,second,male,44,1,0,26,"Southampton, UK",one,41 to 50
855,perished,second,female,44,1,0,26,"Southampton, UK",one,41 to 50
250,perished,second,male,54,1,0,26,"Southampton, UK",one,51 to 60
112,perished,third,female,14.5,1,0,14.4542,"Cherbourg, FR",one,11 to 20
703,perished,third,female,18,0,1,14.4542,"Cherbourg, FR",one,11 to 20
74,perished,third,male,26,1,0,14.4542,"Cherbourg, FR",one,21 to 30
621,perished,third,male,27,1,0,14.4542,"Cherbourg, FR",one,21 to 30
363,perished,third,female,45,0,1,14.4542,"Cherbourg, FR",one,41 to 50
241,perished,third,female,unknown,1,0,14.4542,"Cherbourg, FR",one,
579,perished,third,female,unknown,1,0,14.4583,"Cherbourg, FR",one,
47,perished,third,male,unknown,1,0,15.5,"Queenstown, IR",one,
215,perished,third,male,unknown,1,0,7.75,"Queenstown, IR",one,
365,perished,third,male,unknown,1,0,15.5,"Queenstown, IR",one,
769,perished,third,male,unknown,1,0,24.15,"Queenstown, IR",one,
206,perished,third,female,2,0,1,10.4625,"Southampton, UK",one,< 11
722,perished,third,male,17,1,0,7.0542,"Southampton, UK",one,11 to 20
50,perished,third,female,18,1,0,17.8,"Southampton, UK",one,11 to 20
372,perished,third,male,18,1,0,6.4958,"Southampton, UK",one,11 to 20
114,perished,third,female,20,1,0,9.825,"Southampton, UK",one,11 to 20
403,perished,third,female,21,1,0,9.825,"Southampton, UK",one,11 to 20
1,perished,third,male,22,1,0,7.25,"Southampton, UK",one,21 to 30
744,perished,third,male,24,1,0,16.1,"Southampton, UK",one,21 to 30
354,perished,third,male,25,1,0,17.8,"Southampton, UK",one,21 to 30
443,perished,third,male,25,1,0,7.775,"Southampton, UK",one,21 to 30
730,perished,third,female,25,1,0,7.925,"Southampton, UK",one,21 to 30
618,perished,third,female,26,1,0,16.1,"Southampton, UK",one,21 to 30
705,perished,third,male,26,1,0,7.8542,"Southampton, UK",one,21 to 30
404,perished,third,male,28,1,0,15.85,"Southampton, UK",one,21 to 30
478,perished,third,male,29,1,0,7.0458,"Southampton, UK",one,21 to 30
254,perished,third,male,30,1,0,16.1,"Southampton, UK",one,21 to 30
19,perished,third,female,31,1,0,18,"Southampton, UK",one,21 to 30
207,perished,third,male,32,1,0,15.85,"Southampton, UK",one,31 to 40
606,perished,third,male,36,1,0,15.55,"Southampton, UK",one,31 to 40
41,perished,third,female,40,1,0,9.475,"Southampton, UK",one,31 to 40
198,perished,third,male,42,0,1,8.4042,"Southampton, UK",one,41 to 50
161,perished,third,male,44,0,1,16.1,"Southampton, UK",one,41 to 50
133,perished,third,female,47,1,0,14.5,"Southampton, UK",one,41 to 50
452,perished,third,male,unknown,1,0,19.9667,"Southampton, UK",one,
491,perished,third,male,unknown,1,0,19.9667,"Southampton, UK",one,
640,perished,third,male,unknown,1,0,16.1,"Southampton, UK",one,
378,perished,first,male,27,0,2,211.5,"Cherbourg, FR",two,21 to 30
699,perished,first,male,49,1,1,110.8833,"Cherbourg, FR",two,41 to 50
660,perished,first,male,58,0,2,113.275,"Cherbourg, FR",two,51 to 60
246,perished,first,male,44,2,0,90,"Queenstown, IR",two,41 to 50
263,perished,first,male,52,1,1,79.65,"Southampton, UK",two,51 to 60
746,perished,first,male,70,1,1,71,"Southampton, UK",two,61 to 80
818,perished,second,male,31,1,1,37.0042,"Cherbourg, FR",two,21 to 30
146,perished,second,male,19,1,1,36.75,"Southampton, UK",two,11 to 20
121,perished,second,male,21,2,0,73.5,"Southampton, UK",two,11 to 20
656,perished,second,male,24,2,0,73.5,"Southampton, UK",two,21 to 30
313,perished,second,female,26,1,1,26,"Southampton, UK",two,21 to 30
638,perished,second,male,31,1,1,26.25,"Southampton, UK",two,21 to 30
666,perished,second,male,32,2,0,73.5,"Southampton, UK",two,31 to 40
149,perished,second,male,36.5,0,2,26,"Southampton, UK",two,31 to 40
315,perished,second,male,43,1,1,26.25,"Southampton, UK",two,41 to 50
685,perished,second,male,60,1,1,39,"Southampton, UK",two,51 to 60
853,perished,third,female,9,1,1,15.2458,"Cherbourg, FR",two,< 11
353,perished,third,male,15,1,1,7.2292,"Cherbourg, FR",two,11 to 20
533,perished,third,male,17,1,1,7.2292,"Cherbourg, FR",two,11 to 20
49,perished,third,male,unknown,2,0,21.6792,"Cherbourg, FR",two,
141,perished,third,female,unknown,0,2,15.2458,"Cherbourg, FR",two,
658,perished,third,female,32,1,1,15.5,"Queenstown, IR",two,31 to 40
189,perished,third,male,40,1,1,15.5,"Queenstown, IR",two,31 to 40
594,perished,third,female,unknown,0,2,7.75,"Queenstown, IR",two,
420,perished,third,female,10,0,2,24.15,"Southampton, UK",two,< 11
334,perished,third,male,16,2,0,18,"Southampton, UK",two,11 to 20
747,perished,third,male,16,1,1,20.25,"Southampton, UK",two,11 to 20
39,perished,third,female,18,2,0,18,"Southampton, UK",two,11 to 20
176,perished,third,male,18,1,1,7.8542,"Southampton, UK",two,11 to 20
425,perished,third,male,18,1,1,20.2125,"Southampton, UK",two,11 to 20
566,perished,third,male,24,2,0,24.15,"Southampton, UK",two,21 to 30
70,perished,third,male,26,2,0,8.6625,"Southampton, UK",two,21 to 30
393,perished,third,male,28,2,0,7.925,"Southampton, UK",two,21 to 30
424,perished,third,female,28,1,1,14.4,"Southampton, UK",two,21 to 30
252,perished,third,female,29,1,1,10.4625,"Southampton, UK",two,21 to 30
800,perished,third,female,30,1,1,24.15,"Southampton, UK",two,21 to 30
549,perished,third,male,33,1,1,20.525,"Southampton, UK",two,31 to 40
617,perished,third,male,34,1,1,14.4,"Southampton, UK",two,31 to 40
596,perished,third,male,36,1,1,24.15,"Southampton, UK",two,31 to 40
105,perished,third,male,37,2,0,7.925,"Southampton, UK",two,31 to 40
154,perished,third,male,40.5,0,2,14.5,"Southampton, UK",two,31 to 40
255,perished,third,female,41,0,2,20.2125,"Southampton, UK",two,31 to 40
861,perished,third,male,41,2,0,14.1083,"Southampton, UK",two,31 to 40
298,perished,first,female,2,1,2,151.55,"Southampton, UK",three,< 11
499,perished,first,female,25,1,2,151.55,"Southampton, UK",three,21 to 30
686,perished,second,male,25,1,2,41.5792,"Cherbourg, FR",three,21 to 30
530,perished,second,male,23,2,1,11.5,"Southampton, UK",three,21 to 30
451,perished,second,male,36,1,2,27.75,"Southampton, UK",three,31 to 40
94,perished,third,male,26,1,2,20.575,"Southampton, UK",three,21 to 30
784,perished,third,male,unknown,1,2,23.45,"Southampton, UK",three,
889,perished,third,female,unknown,1,2,23.45,"Southampton, UK",three,
8,perished,third,male,2,3,1,21.075,"Southampton, UK",four,< 11
375,perished,third,female,3,3,1,21.075,"Southampton, UK",four,< 11
25,perished,third,female,8,3,1,21.075,"Southampton, UK",four,< 11
148,perished,third,female,9,2,2,34.375,"Southampton, UK",four,< 11
87,perished,third,male,16,1,3,34.375,"Southampton, UK",four,11 to 20
437,perished,third,female,21,2,2,34.375,"Southampton, UK",four,11 to 20
568,perished,third,female,29,0,4,21.075,"Southampton, UK",four,21 to 30
737,perished,third,female,48,1,3,34.375,"Southampton, UK",four,41 to 50
177,perished,third,male,unknown,3,1,25.4667,"Southampton, UK",four,
230,perished,third,female,unknown,3,1,25.4667,"Southampton, UK",four,
410,perished,third,female,unknown,3,1,25.4667,"Southampton, UK",four,
486,perished,third,female,unknown,3,1,25.4667,"Southampton, UK",four,
28,perished,first,male,19,3,2,263,"Southampton, UK",five,11 to 20
439,perished,first,male,64,1,4,263,"Southampton, UK",five,61 to 80
17,perished,third,male,2,4,1,29.125,"Queenstown, IR",five,< 11
172,perished,third,male,4,4,1,29.125,"Queenstown, IR",five,< 11
279,perished,third,male,7,4,1,29.125,"Queenstown, IR",five,< 11
788,perished,third,male,8,4,1,29.125,"Queenstown, IR",five,< 11
886,perished,third,female,39,0,5,29.125,"Queenstown, IR",five,31 to 40
165,perished,third,male,1,4,1,39.6875,"Southampton, UK",five,< 11
643,perished,third,female,2,3,2,27.9,"Southampton, UK",five,< 11
825,perished,third,male,2,4,1,39.6875,"Southampton, UK",five,< 11
64,perished,third,male,4,3,2,27.9,"Southampton, UK",five,< 11
51,perished,third,male,7,4,1,39.6875,"Southampton, UK",five,< 11
635,perished,third,female,9,3,2,27.9,"Southampton, UK",five,< 11
820,perished,third,male,10,3,2,27.9,"Southampton, UK",five,< 11
687,perished,third,male,14,4,1,39.6875,"Southampton, UK",five,11 to 20
267,perished,third,male,16,4,1,39.6875,"Southampton, UK",five,11 to 20
361,perished,third,male,40,1,4,27.9,"Southampton, UK",five,31 to 40
639,perished,third,female,41,0,5,39.6875,"Southampton, UK",five,31 to 40
168,perished,third,female,45,1,4,27.9,"Southampton, UK",five,41 to 50
120,perished,third,female,2,4,2,31.275,"Southampton, UK",six ,< 11
851,perished,third,male,4,4,2,31.275,"Southampton, UK",six ,< 11
814,perished,third,female,6,4,2,31.275,"Southampton, UK",six ,< 11
183,perished,third,male,9,4,2,31.3875,"Southampton, UK",six ,< 11
542,perished,third,female,9,4,2,31.275,"Southampton, UK",six ,< 11
543,perished,third,female,11,4,2,31.275,"Southampton, UK",six ,< 11
14,perished,third,male,39,1,5,31.275,"Southampton, UK",six ,31 to 40
611,perished,third,female,39,1,5,31.275,"Southampton, UK",six ,31 to 40
387,perished,third,male,1,5,2,46.9,"Southampton, UK",seven,< 11
481,perished,third,male,9,5,2,46.9,"Southampton, UK",seven,< 11
60,perished,third,male,11,5,2,46.9,"Southampton, UK",seven,< 11
684,perished,third,male,14,5,2,46.9,"Southampton, UK",seven,11 to 20
72,perished,third,female,16,5,2,46.9,"Southampton, UK",seven,11 to 20
679,perished,third,female,43,1,6,46.9,"Southampton, UK",seven,41 to 50
160,perished,third,male,unknown,8,2,69.55,"Southampton, UK",ten,
181,perished,third,female,unknown,8,2,69.55,"Southampton, UK",ten,
202,perished,third,male,unknown,8,2,69.55,"Southampton, UK",ten,
325,perished,third,male,unknown,8,2,69.55,"Southampton, UK",ten,
793,perished,third,female,unknown,8,2,69.55,"Southampton, UK",ten,
847,perished,third,male,unknown,8,2,69.55,"Southampton, UK",ten,
864,perished,third,female,unknown,8,2,69.55,"Southampton, UK",ten,
311,survived,first,female,24,0,0,83.1583,"Cherbourg, FR",none,21 to 30
370,survived,first,female,24,0,0,69.3,"Cherbourg, FR",none,21 to 30
642,survived,first,female,24,0,0,69.3,"Cherbourg, FR",none,21 to 30
711,survived,first,female,24,0,0,49.5042,"Cherbourg, FR",none,21 to 30
890,survived,first,male,26,0,0,30,"Cherbourg, FR",none,21 to 30
682,survived,first,male,27,0,0,76.7292,"Cherbourg, FR",none,21 to 30
310,survived,first,female,30,0,0,56.9292,"Cherbourg, FR",none,21 to 30
538,survived,first,female,30,0,0,106.425,"Cherbourg, FR",none,21 to 30
843,survived,first,female,30,0,0,31,"Cherbourg, FR",none,21 to 30
219,survived,first,female,32,0,0,76.2917,"Cherbourg, FR",none,31 to 40
633,survived,first,male,32,0,0,30.5,"Cherbourg, FR",none,31 to 40
259,survived,first,female,35,0,0,512.3292,"Cherbourg, FR",none,31 to 40
605,survived,first,male,35,0,0,26.55,"Cherbourg, FR",none,31 to 40
738,survived,first,male,35,0,0,512.3292,"Cherbourg, FR",none,31 to 40
326,survived,first,female,36,0,0,135.6333,"Cherbourg, FR",none,31 to 40
717,survived,first,female,38,0,0,227.525,"Cherbourg, FR",none,31 to 40
210,survived,first,male,40,0,0,31,"Cherbourg, FR",none,31 to 40
338,survived,first,female,41,0,0,134.5,"Cherbourg, FR",none,31 to 40
381,survived,first,female,42,0,0,227.525,"Cherbourg, FR",none,41 to 50
195,survived,first,female,44,0,0,27.7208,"Cherbourg, FR",none,41 to 50
648,survived,first,male,56,0,0,35.5,"Cherbourg, FR",none,51 to 60
196,survived,first,female,58,0,0,146.5208,"Cherbourg, FR",none,51 to 60
257,survived,first,female,unknown,0,0,79.2,"Cherbourg, FR",none,
307,survived,first,female,unknown,0,0,110.8833,"Cherbourg, FR",none,
840,survived,first,male,unknown,0,0,29.7,"Cherbourg, FR",none,
505,survived,first,female,16,0,0,86.5,"Southampton, UK",none,11 to 20
888,survived,first,female,19,0,0,30,"Southampton, UK",none,11 to 20
628,survived,first,female,21,0,0,77.9583,"Southampton, UK",none,11 to 20
709,survived,first,female,22,0,0,151.55,"Southampton, UK",none,21 to 30
291,survived,first,female,26,0,0,78.85,"Southampton, UK",none,21 to 30
608,survived,first,male,27,0,0,30.5,"Southampton, UK",none,21 to 30
24,survived,first,male,28,0,0,35.5,"Southampton, UK",none,21 to 30
431,survived,first,male,28,0,0,26.55,"Southampton, UK",none,21 to 30
731,survived,first,female,29,0,0,211.3375,"Southampton, UK",none,21 to 30
258,survived,first,female,30,0,0,86.5,"Southampton, UK",none,21 to 30
521,survived,first,female,30,0,0,93.5,"Southampton, UK",none,21 to 30
760,survived,first,female,33,0,0,86.5,"Southampton, UK",none,31 to 40
448,survived,first,male,34,0,0,26.55,"Southampton, UK",none,31 to 40
270,survived,first,female,35,0,0,135.6333,"Southampton, UK",none,31 to 40
702,survived,first,male,35,0,0,26.2875,"Southampton, UK",none,31 to 40
513,survived,first,male,36,0,0,26.2875,"Southampton, UK",none,31 to 40
573,survived,first,male,36,0,0,26.3875,"Southampton, UK",none,31 to 40
610,survived,first,female,40,0,0,153.4625,"Southampton, UK",none,31 to 40
708,survived,first,male,42,0,0,26.2875,"Southampton, UK",none,41 to 50
188,survived,first,male,45,0,0,26.55,"Southampton, UK",none,41 to 50
461,survived,first,male,48,0,0,26.55,"Southampton, UK",none,41 to 50
863,survived,first,female,48,0,0,25.9292,"Southampton, UK",none,41 to 50
797,survived,first,female,49,0,0,25.9292,"Southampton, UK",none,41 to 50
858,survived,first,male,51,0,0,26.55,"Southampton, UK",none,41 to 50
450,survived,first,male,52,0,0,30.5,"Southampton, UK",none,51 to 60
12,survived,first,female,58,0,0,26.55,"Southampton, UK",none,51 to 60
631,survived,first,male,80,0,0,30,"Southampton, UK",none,61 to 80
56,survived,first,male,unknown,0,0,35.5,"Southampton, UK",none,
299,survived,first,male,unknown,0,0,30.5,"Southampton, UK",none,
508,survived,first,male,unknown,0,0,26.55,"Southampton, UK",none,
741,survived,first,male,unknown,0,0,30,"Southampton, UK",none,
62,survived,first,female,38,0,0,80,unknown,none,31 to 40
830,survived,first,female,62,0,0,80,unknown,none,61 to 80
390,survived,second,female,17,0,0,12,"Cherbourg, FR",none,11 to 20
474,survived,second,female,23,0,0,13.7917,"Cherbourg, FR",none,21 to 30
548,survived,second,male,unknown,0,0,13.8625,"Cherbourg, FR",none,
323,survived,second,female,30,0,0,12.35,"Queenstown, IR",none,21 to 30
304,survived,second,female,unknown,0,0,12.35,"Queenstown, IR",none,
85,survived,second,female,17,0,0,10.5,"Southampton, UK",none,11 to 20
227,survived,second,male,19,0,0,10.5,"Southampton, UK",none,11 to 20
428,survived,second,female,19,0,0,26,"Southampton, UK",none,11 to 20
57,survived,second,female,21,0,0,10.5,"Southampton, UK",none,11 to 20
346,survived,second,female,24,0,0,13,"Southampton, UK",none,21 to 30
718,survived,second,female,27,0,0,10.5,"Southampton, UK",none,21 to 30
400,survived,second,female,28,0,0,12.65,"Southampton, UK",none,21 to 30
444,survived,second,female,28,0,0,13,"Southampton, UK",none,21 to 30
636,survived,second,female,28,0,0,13,"Southampton, UK",none,21 to 30
67,survived,second,female,29,0,0,10.5,"Southampton, UK",none,21 to 30
748,survived,second,female,30,0,0,13,"Southampton, UK",none,21 to 30
674,survived,second,male,31,0,0,13,"Southampton, UK",none,21 to 30
191,survived,second,female,32,0,0,13,"Southampton, UK",none,31 to 40
124,survived,second,female,32.5,0,0,13,"Southampton, UK",none,31 to 40
22,survived,second,male,34,0,0,13,"Southampton, UK",none,31 to 40
517,survived,second,female,34,0,0,10.5,"Southampton, UK",none,31 to 40
577,survived,second,female,34,0,0,13,"Southampton, UK",none,31 to 40
212,survived,second,female,35,0,0,21,"Southampton, UK",none,31 to 40
328,survived,second,female,36,0,0,13,"Southampton, UK",none,31 to 40
388,survived,second,female,36,0,0,13,"Southampton, UK",none,31 to 40
162,survived,second,female,40,0,0,15.75,"Southampton, UK",none,31 to 40
347,survived,second,female,40,0,0,13,"Southampton, UK",none,31 to 40
289,survived,second,male,42,0,0,13,"Southampton, UK",none,41 to 50
866,survived,second,female,42,0,0,13,"Southampton, UK",none,41 to 50
707,survived,second,female,45,0,0,13.5,"Southampton, UK",none,41 to 50
459,survived,second,female,50,0,0,10.5,"Southampton, UK",none,41 to 50
527,survived,second,female,50,0,0,10.5,"Southampton, UK",none,41 to 50
16,survived,second,female,55,0,0,16,"Southampton, UK",none,51 to 60
571,survived,second,male,62,0,0,10.5,"Southampton, UK",none,61 to 80
18,survived,second,male,unknown,0,0,13,"Southampton, UK",none,
597,survived,second,female,unknown,0,0,33,"Southampton, UK",none,
781,survived,third,female,13,0,0,7.2292,"Cherbourg, FR",none,11 to 20
876,survived,third,female,15,0,0,7.225,"Cherbourg, FR",none,11 to 20
763,survived,third,male,20,0,0,7.2292,"Cherbourg, FR",none,11 to 20
554,survived,third,male,22,0,0,7.225,"Cherbourg, FR",none,21 to 30
208,survived,third,male,26,0,0,18.7875,"Cherbourg, FR",none,21 to 30
456,survived,third,male,29,0,0,7.8958,"Cherbourg, FR",none,21 to 30
20,survived,third,female,unknown,0,0,7.225,"Cherbourg, FR",none,
37,survived,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,
368,survived,third,female,unknown,0,0,7.2292,"Cherbourg, FR",none,
23,survived,third,female,15,0,0,8.0292,"Queenstown, IR",none,11 to 20
157,survived,third,female,16,0,0,7.7333,"Queenstown, IR",none,11 to 20
209,survived,third,female,16,0,0,7.75,"Queenstown, IR",none,11 to 20
45,survived,third,female,19,0,0,7.8792,"Queenstown, IR",none,11 to 20
290,survived,third,female,22,0,0,7.75,"Queenstown, IR",none,21 to 30
511,survived,third,male,29,0,0,7.75,"Queenstown, IR",none,21 to 30
29,survived,third,female,unknown,0,0,7.8792,"Queenstown, IR",none,
33,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,
48,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,
83,survived,third,female,unknown,0,0,7.7875,"Queenstown, IR",none,
199,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,
275,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,
301,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,
359,survived,third,female,unknown,0,0,7.8792,"Queenstown, IR",none,
360,survived,third,female,unknown,0,0,7.8792,"Queenstown, IR",none,
369,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,
574,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,
654,survived,third,female,unknown,0,0,7.8292,"Queenstown, IR",none,
698,survived,third,female,unknown,0,0,7.7333,"Queenstown, IR",none,
728,survived,third,female,unknown,0,0,7.7375,"Queenstown, IR",none,
829,survived,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
778,survived,third,female,5,0,0,12.475,"Southampton, UK",none,< 11
221,survived,third,male,16,0,0,8.05,"Southampton, UK",none,11 to 20
205,survived,third,male,18,0,0,8.05,"Southampton, UK",none,11 to 20
678,survived,third,female,18,0,0,9.8417,"Southampton, UK",none,11 to 20
787,survived,third,female,18,0,0,7.4958,"Southampton, UK",none,11 to 20
284,survived,third,male,19,0,0,8.05,"Southampton, UK",none,11 to 20
107,survived,third,female,21,0,0,7.65,"Southampton, UK",none,11 to 20
392,survived,third,male,21,0,0,7.7958,"Southampton, UK",none,11 to 20
142,survived,third,female,22,0,0,7.75,"Southampton, UK",none,21 to 30
377,survived,third,female,22,0,0,7.25,"Southampton, UK",none,21 to 30
555,survived,third,female,22,0,0,7.775,"Southampton, UK",none,21 to 30
650,survived,third,female,23,0,0,7.55,"Southampton, UK",none,21 to 30
128,survived,third,male,24,0,0,7.1417,"Southampton, UK",none,21 to 30
272,survived,third,male,25,0,0,0,"Southampton, UK",none,21 to 30
3,survived,third,female,26,0,0,7.925,"Southampton, UK",none,21 to 30
316,survived,third,female,26,0,0,7.8542,"Southampton, UK",none,21 to 30
510,survived,third,male,26,0,0,56.4958,"Southampton, UK",none,21 to 30
147,survived,third,male,27,0,0,7.7958,"Southampton, UK",none,21 to 30
217,survived,third,female,27,0,0,7.925,"Southampton, UK",none,21 to 30
805,survived,third,male,27,0,0,6.975,"Southampton, UK",none,21 to 30
822,survived,third,male,27,0,0,8.6625,"Southampton, UK",none,21 to 30
82,survived,third,male,29,0,0,9.5,"Southampton, UK",none,21 to 30
80,survived,third,female,30,0,0,12.475,"Southampton, UK",none,21 to 30
287,survived,third,male,30,0,0,9.5,"Southampton, UK",none,21 to 30
745,survived,third,male,31,0,0,7.925,"Southampton, UK",none,21 to 30
798,survived,third,female,31,0,0,8.6833,"Southampton, UK",none,21 to 30
75,survived,third,male,32,0,0,56.4958,"Southampton, UK",none,31 to 40
430,survived,third,male,32,0,0,8.05,"Southampton, UK",none,31 to 40
570,survived,third,male,32,0,0,7.8542,"Southampton, UK",none,31 to 40
580,survived,third,male,32,0,0,7.925,"Southampton, UK",none,31 to 40
839,survived,third,male,32,0,0,56.4958,"Southampton, UK",none,31 to 40
401,survived,third,male,39,0,0,7.925,"Southampton, UK",none,31 to 40
415,survived,third,male,44,0,0,7.925,"Southampton, UK",none,41 to 50
339,survived,third,male,45,0,0,8.05,"Southampton, UK",none,41 to 50
484,survived,third,female,63,0,0,9.5875,"Southampton, UK",none,61 to 80
108,survived,third,male,unknown,0,0,7.775,"Southampton, UK",none,
445,survived,third,male,unknown,0,0,8.1125,"Southampton, UK",none,
644,survived,third,male,unknown,0,0,56.4958,"Southampton, UK",none,
693,survived,third,male,unknown,0,0,56.4958,"Southampton, UK",none,
330,survived,first,female,16,0,1,57.9792,"Cherbourg, FR",one,11 to 20
308,survived,first,female,17,1,0,108.9,"Cherbourg, FR",one,11 to 20
701,survived,first,female,18,1,0,227.525,"Cherbourg, FR",one,11 to 20
292,survived,first,female,19,1,0,91.0792,"Cherbourg, FR",one,11 to 20
98,survived,first,male,23,0,1,63.3583,"Cherbourg, FR",one,21 to 30
394,survived,first,female,23,1,0,113.275,"Cherbourg, FR",one,21 to 30
371,survived,first,male,25,1,0,55.4417,"Cherbourg, FR",one,21 to 30
485,survived,first,male,25,1,0,91.0792,"Cherbourg, FR",one,21 to 30
216,survived,first,female,31,1,0,113.275,"Cherbourg, FR",one,21 to 30
680,survived,first,male,36,0,1,512.3292,"Cherbourg, FR",one,31 to 40
2,survived,first,female,38,1,0,71.2833,"Cherbourg, FR",one,31 to 40
524,survived,first,female,44,0,1,57.9792,"Cherbourg, FR",one,41 to 50
557,survived,first,female,48,1,0,39.6,"Cherbourg, FR",one,41 to 50
646,survived,first,male,48,1,0,76.7292,"Cherbourg, FR",one,41 to 50
53,survived,first,female,49,1,0,76.7292,"Cherbourg, FR",one,41 to 50
454,survived,first,male,49,1,0,89.1042,"Cherbourg, FR",one,41 to 50
600,survived,first,male,49,1,0,56.9292,"Cherbourg, FR",one,41 to 50
300,survived,first,female,50,0,1,247.5208,"Cherbourg, FR",one,41 to 50
592,survived,first,female,52,1,0,78.2667,"Cherbourg, FR",one,51 to 60
497,survived,first,female,54,1,0,78.2667,"Cherbourg, FR",one,51 to 60
514,survived,first,female,54,1,0,59.4,"Cherbourg, FR",one,51 to 60
880,survived,first,female,56,0,1,83.1583,"Cherbourg, FR",one,51 to 60
367,survived,first,female,60,1,0,75.25,"Cherbourg, FR",one,51 to 60
32,survived,first,female,unknown,1,0,146.5208,"Cherbourg, FR",one,
376,survived,first,female,unknown,1,0,82.1708,"Cherbourg, FR",one,
850,survived,first,female,unknown,1,0,89.1042,"Cherbourg, FR",one,
413,survived,first,female,33,1,0,90,"Queenstown, IR",one,31 to 40
690,survived,first,female,15,0,1,211.3375,"Southampton, UK",one,11 to 20
854,survived,first,female,16,0,1,39.4,"Southampton, UK",one,11 to 20
782,survived,first,female,17,1,0,57,"Southampton, UK",one,11 to 20
152,survived,first,female,22,1,0,66.6,"Southampton, UK",one,21 to 30
357,survived,first,female,22,0,1,55,"Southampton, UK",one,21 to 30
725,survived,first,male,27,1,0,53.1,"Southampton, UK",one,21 to 30
691,survived,first,male,31,1,0,57,"Southampton, UK",one,21 to 30
810,survived,first,female,33,1,0,53.1,"Southampton, UK",one,31 to 40
4,survived,first,female,35,1,0,53.1,"Southampton, UK",one,31 to 40
231,survived,first,female,35,1,0,83.475,"Southampton, UK",one,31 to 40
384,survived,first,female,35,1,0,52,"Southampton, UK",one,31 to 40
487,survived,first,female,35,1,0,90,"Southampton, UK",one,31 to 40
225,survived,first,male,38,1,0,90,"Southampton, UK",one,31 to 40
578,survived,first,female,39,1,0,55.9,"Southampton, UK",one,31 to 40
622,survived,first,male,42,1,0,52.5542,"Southampton, UK",one,41 to 50
780,survived,first,female,43,0,1,211.3375,"Southampton, UK",one,41 to 50
713,survived,first,male,48,1,0,52,"Southampton, UK",one,41 to 50
766,survived,first,female,51,1,0,77.9583,"Southampton, UK",one,41 to 50
269,survived,first,female,58,0,1,153.4625,"Southampton, UK",one,51 to 60
276,survived,first,female,63,1,0,77.9583,"Southampton, UK",one,61 to 80
167,survived,first,female,unknown,0,1,55,"Southampton, UK",one,
335,survived,first,female,unknown,1,0,133.65,"Southampton, UK",one,
458,survived,first,female,unknown,1,0,51.8625,"Southampton, UK",one,
670,survived,first,female,unknown,1,0,52,"Southampton, UK",one,
10,survived,second,female,14,1,0,30.0708,"Cherbourg, FR",one,11 to 20
867,survived,second,female,27,1,0,13.8583,"Cherbourg, FR",one,21 to 30
875,survived,second,female,28,1,0,24,"Cherbourg, FR",one,21 to 30
721,survived,second,female,6,0,1,33,"Southampton, UK",one,< 11
447,survived,second,female,13,0,1,19.5,"Southampton, UK",one,11 to 20
652,survived,second,female,18,0,1,23,"Southampton, UK",one,11 to 20
547,survived,second,female,19,1,0,26,"Southampton, UK",one,11 to 20
317,survived,second,female,24,1,0,26,"Southampton, UK",one,21 to 30
881,survived,second,female,25,0,1,26,"Southampton, UK",one,21 to 30
427,survived,second,female,28,1,0,26,"Southampton, UK",one,21 to 30
54,survived,second,female,29,1,0,26,"Southampton, UK",one,21 to 30
134,survived,second,female,29,1,0,26,"Southampton, UK",one,21 to 30
544,survived,second,male,32,1,0,26,"Southampton, UK",one,31 to 40
99,survived,second,female,34,0,1,23,"Southampton, UK",one,31 to 40
519,survived,second,female,36,1,0,26,"Southampton, UK",one,31 to 40
273,survived,second,female,41,0,1,19.5,"Southampton, UK",one,31 to 40
